"commodity","marketCenter","variety","arrrivals","modalPrice","minMaxPrice"
"Amla","Barnala  Punjab","Amla","0.2 Tonnes","3300.00","3300.00 / 3300.00"
"Cauliflower","Chhachrauli  Haryana","Cauliflower","1.15 Tonnes","400.00","400.00 / 530.00"
"Drumstick","Padra  Gujarat","Other","1.4 Tonnes","3400.00","2750.00 / 4000.00"
"Cauliflower","Safdarganj  Uttar Pradesh","Cauliflower","0.5 Tonnes","520.00","500.00 / 550.00"
"Pointed Gourd","Hindol  Odisha","Other","0.25 Tonnes","7500.00","7000.00 / 8000.00"
"Green Peas","Mawana  Uttar Pradesh","Green Peas","0.8 Tonnes","1300.00","1250.00 / 1450.00"
"Tomato","Chamkaur Sahib  Punjab","Other","0.9 Tonnes","2150.00","2100.00 / 2200.00"
"Mustard","Lakhimpur  Uttar Pradesh","Sarson(Black)","120 Tonnes","4350.00","4310.00 / 4410.00"
"Paddy","Madathukulam  Tamil Nadu","Other","NR","1765.00","1750.00 / 1775.00"
"Carrot","Tanda(Rampur)  Uttar Pradesh","Carrot","0.7 Tonnes","505.00","500.00  / 510.00"
"Capsicum","Nahan  Himachal Pradesh","Other","0.05 Tonnes","3250.00","3000.00 / 3500.00"
"Kinnow","Barnala  Punjab","Kinnow","12.49 Tonnes","1000.00","500.00 / 1500.00"
"Jowar","Beawar  Rajasthan","Other","6.3 Tonnes","2150.00","1300.00 / 3000.00"
"Apple","Haathras  Uttar Pradesh","Kasmir/Shimla - II","2 Tonnes","8000.00","7900.00 / 8100.00"
"Bitter Gourd","Kottarakkara  Kerala","Other","0.13 Tonnes","3600.00","3400.00 / 3800.00"
"Brinjal","Nabha  Punjab","Other","0.7 Tonnes","1200.00","900.00 / 1600.00"
"Bhindi","Udaipur(F&V)  Rajasthan","Other","6.7 Tonnes","3200.00","2000.00 / 4500.00"
"Brinjal","Kot ise Khan  Punjab","Other","1 Tonnes","1100.00","1000.00 / 1200.00"
"Wheat","Choubepur  Uttar Pradesh","Dara","65 Tonnes","1750.00","1700.00 / 1800.00"
"Cauliflower","Chamkaur Sahib  Punjab","Other","1.5 Tonnes","350.00","300.00 / 400.00"
"Brinjal","Palayam  Kerala","Other","10 Tonnes","1300.00","1200.00 / 1400.00"
"Brinjal","Hoshiarpur(Sham Churasi)  Punjab","Brinjal","0.05 Tonnes","1500.00","1000.00 / 2000.00"
